"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","SquarroseKnapweed","BLM","Grand Staircase Escalante Nat Monument",1565207,1881970,0.83,"0",0
"2","SquarroseKnapweed","BLM","Canyon Country",5305298,7441948,0.71,"0",21
"3","SquarroseKnapweed","BLM","Winnemucca District",7246638,11321783,0.64,"0",0
"4","SquarroseKnapweed","BLM","Vale District Office",9487897,15222990,0.62,"0",0
"5","SquarroseKnapweed","BLM","Lakeview District Office",5465494,9125689,0.6,"0",0
"6","SquarroseKnapweed","BLM","Prineville District Office",7674878,13040676,0.59,"0",0
"7","SquarroseKnapweed","BLM","Burns District Office",3345951,5771475,0.58,"0",9
"8","SquarroseKnapweed","BLM","Twin Falls District Office",5290763,9049768,0.58,"0",6
"9","SquarroseKnapweed","BLM","Las Cruces District Office",8650156,16040602,0.54,"0",195
"10","SquarroseKnapweed","BLM","Color Country",7247630,13718194,0.53,"0",0
"11","SquarroseKnapweed","BLM","Carson City District",4445712,8943177,0.5,"0",22
"12","SquarroseKnapweed","BLM","Albuquerque District Office",9097531,18192033,0.5,"0",128
"13","SquarroseKnapweed","BLM","West Desert",10350961,22058534,0.47,"0",0
"14","SquarroseKnapweed","BLM","Boise District Office",5391488,12476806,0.43,"0",0
"15","SquarroseKnapweed","BLM","Battle Mountain District",5783691,13487090,0.43,"0",12
"16","SquarroseKnapweed","BLM","Farmington District Office",9700578,23359098,0.42,"0",129
"17","SquarroseKnapweed","BLM","Elko District",5021883,12225080,0.41,"0",0
"18","SquarroseKnapweed","BLM","Green River",3804187,9229924,0.41,"0",0
"19","SquarroseKnapweed","BLM","Ely District",5288377,12876221,0.41,"0",0
"20","SquarroseKnapweed","BLM","Southwest District Office",4158622,10688655,0.39,"0",70
"21","SquarroseKnapweed","BLM","Gila District Office",8331240,22174577,0.38,"0",37
"22","SquarroseKnapweed","BLM","Spokane District Office",17396836,45535045,0.38,"0",0
"23","SquarroseKnapweed","BLM","Pecos District Office",6578702,20229604,0.33,"0",297
"24","SquarroseKnapweed","BLM","Medford District Office",982507,3057476,0.32,"0",0
"25","SquarroseKnapweed","BLM","Phoenix District Office",10341557,33183750,0.31,"0",0
"26","SquarroseKnapweed","BLM","Northern California District",7394080,25799100,0.29,"0",0
"27","SquarroseKnapweed","BLM","Arizona Strip District Office",1307655,5049201,0.26,"0",0
"28","SquarroseKnapweed","BLM","Idaho Falls District Office",4223591,18237976,0.23,"0",0
"29","SquarroseKnapweed","BLM","Roseburg District Office",472612,2690213,0.18,"0",7
"30","SquarroseKnapweed","BLM","Rocky Mountain District Office",7578213,43012513,0.18,"0",166
"31","SquarroseKnapweed","BLM","Northwest District Office",1931675,12914979,0.15,"0",68
"32","SquarroseKnapweed","BLM","High Desert District",2432807,25349045,0.1,"0",1
"33","SquarroseKnapweed","BLM","Western Montana District Office",2886795,29542704,0.1,"0",14
"34","SquarroseKnapweed","BLM","Coeur D'alene District Office",1354184,13798609,0.1,"0",0
"35","SquarroseKnapweed","BLM","Wind River Bighorn Basin District",486028,16307924,0.03,"0",85
"36","SquarroseKnapweed","BLM","NW Oregon District Office",259219,11107437,0.02,"0",31
"37","SquarroseKnapweed","BLM","Northeastern States District Office",8717997,470278322,0.02,"0",697
"38","SquarroseKnapweed","BLM","Central California District",939342,44587440,0.02,"0",32
"39","SquarroseKnapweed","BLM","High Plains District",621978,70447274,0.01,"0",183
"40","SquarroseKnapweed","BLM","Coos Bay District Office",32260,3066521,0.01,"0",3
"41","SquarroseKnapweed","BLM","Southern Nevada District",138320,9910954,0.01,"0",79
"42","SquarroseKnapweed","BLM","Colorado River District Office",76057,12837842,0.01,"0",82
"43","SquarroseKnapweed","BLM","North Central Montana District Office",1095,27943288,0,"0",171
"44","SquarroseKnapweed","BLM","California Desert District",82198,32715963,0,"0",151
"45","SquarroseKnapweed","BLM","Eastern Montana/Daks District Office",119080,131224179,0,"0",145
"46","SquarroseKnapweed","BLM","Southeastern States  District Office",0,347054542,0,"0",843
"47","SquarroseKnapweed","FWS","Umatilla National Wildlife Refuge",24015,23789,1,"0",52
"48","SquarroseKnapweed","FWS","Cold Springs National Wildlife Refuge",3148,3124,1,"0",66
"49","SquarroseKnapweed","FWS","Mckay Creek National Wildlife Refuge",1845,1827,1,"0",52
"50","SquarroseKnapweed","FWS","Deer Flat National Wildlife Refuge",11539,11623,0.99,"0",11
"51","SquarroseKnapweed","FWS","Minidoka National Wildlife Refuge",22302,22525,0.99,"0",48
"52","SquarroseKnapweed","FWS","Valle De Oro National Wildlife Refuge",482,489,0.98,"0",256
"53","SquarroseKnapweed","FWS","Rocky Mountain Arsenal National Wildlife Refuge",15193,15992,0.95,"0",277
"54","SquarroseKnapweed","FWS","Tule Lake National Wildlife Refuge",36746,38908,0.94,"0",6
"55","SquarroseKnapweed","FWS","Clear Lake National Wildlife Refuge",30837,33579,0.92,"0",6
"56","SquarroseKnapweed","FWS","Bosque Del Apache National Wildlife Refuge",53237,57912,0.92,"0",262
"57","SquarroseKnapweed","FWS","Bear River Migratory Bird Refuge",66717,76458,0.87,"0",13
"58","SquarroseKnapweed","FWS","Optima National Wildlife Refuge",3625,4341,0.84,"0",517
"59","SquarroseKnapweed","FWS","Lower Klamath National Wildlife Refuge",44370,53130,0.84,"0",9
"60","SquarroseKnapweed","FWS","Two Ponds National Wildlife Refuge",58,70,0.82,"0",266
"61","SquarroseKnapweed","FWS","Saddle Mountain National Wildlife Refuge",132730,164309,0.81,"0",83
"62","SquarroseKnapweed","FWS","Hart Mountain National Antelope Refuge",221757,280286,0.79,"0",0
"63","SquarroseKnapweed","FWS","Bear Valley National Wildlife Refuge",3227,4223,0.76,"0",6
"64","SquarroseKnapweed","FWS","San Bernardino National Wildlife Refuge",1699,2368,0.72,"0",304
"65","SquarroseKnapweed","FWS","San Andres National Wildlife Refuge",42942,60090,0.71,"0",315
"66","SquarroseKnapweed","FWS","Las Vegas National Wildlife Refuge",6623,9328,0.71,"0",334
"67","SquarroseKnapweed","FWS","Swan River National Wildlife Refuge",1351,1933,0.7,"0",191
"68","SquarroseKnapweed","FWS","Wichita Mountains Wildlife Refuge",40584,59022,0.69,"0",679
"69","SquarroseKnapweed","FWS","Columbia National Wildlife Refuge",20134,29287,0.69,"0",103
"70","SquarroseKnapweed","FWS","Buffalo Lake National Wildlife Refuge",4691,7735,0.61,"0",500
"71","SquarroseKnapweed","FWS","Sevilleta National Wildlife Refuge",137626,227856,0.6,"0",242
"72","SquarroseKnapweed","FWS","Mcnary National Wildlife Refuge",9368,15844,0.59,"0",72
"73","SquarroseKnapweed","FWS","Toppenish National Wildlife Refuge",1193,2039,0.59,"0",59
"74","SquarroseKnapweed","FWS","Sheldon National Wildlife Refuge",326541,577495,0.57,"0",41
"75","SquarroseKnapweed","FWS","Washita National Wildlife Refuge",4543,8114,0.56,"0",641
"76","SquarroseKnapweed","FWS","Modoc National Wildlife Refuge",3493,7133,0.49,"0",23
"77","SquarroseKnapweed","FWS","Lee Metcalf National Wildlife Refuge",1380,2899,0.48,"0",114
"78","SquarroseKnapweed","FWS","Ruby Lake National Wildlife Refuge",17891,39951,0.45,"0",9
"79","SquarroseKnapweed","FWS","Ouray National Wildlife Refuge",5336,11914,0.45,"0",38
"80","SquarroseKnapweed","FWS","Rocky Flats National Wildlife Refuge",2897,6539,0.44,"0",260
"81","SquarroseKnapweed","FWS","National Bison Range",7329,18850,0.39,"0",146
"82","SquarroseKnapweed","FWS","Turnbull National Wildlife Refuge",6975,19213,0.36,"0",134
"83","SquarroseKnapweed","FWS","Camas National Wildlife Refuge",3036,10836,0.28,"0",29
"84","SquarroseKnapweed","FWS","Mortenson Lake National Wildlife Refuge",491,1976,0.25,"0",237
"85","SquarroseKnapweed","FWS","Little Pend Oreille National Wildlife Refuge",10102,42230,0.24,"0",186
"86","SquarroseKnapweed","FWS","Salt Plains National Wildlife Refuge",7320,32144,0.23,"0",655
"87","SquarroseKnapweed","FWS","Leslie Canyon National Wildlife Refuge",4711,25006,0.19,"0",276
"88","SquarroseKnapweed","FWS","Fallon National Wildlife Refuge",2779,17955,0.15,"0",41
"89","SquarroseKnapweed","FWS","Baca National Wildlife Refuge",12304,86760,0.14,"0",257
"90","SquarroseKnapweed","FWS","Klamath Marsh National Wildlife Refuge",5928,41869,0.14,"0",48
"91","SquarroseKnapweed","FWS","Meredosia National Wildlife Refuge",472,3699,0.13,"0",988
"92","SquarroseKnapweed","FWS","Chautauqua National Wildlife Refuge",594,6635,0.09,"0",1011
"93","SquarroseKnapweed","FWS","Ankeny National Wildlife Refuge",247,2804,0.09,"0",91
"94","SquarroseKnapweed","FWS","Big Muddy National Fish And Wildlife Refuge",1320,18150,0.07,"0",816
"95","SquarroseKnapweed","FWS","Buenos Aires National Wildlife Refuge",6781,117968,0.06,"0",246
"96","SquarroseKnapweed","FWS","Pathfinder National Wildlife Refuge",772,16851,0.05,"0",198
"97","SquarroseKnapweed","FWS","Maxwell National Wildlife Refuge",182,3568,0.05,"0",367
"98","SquarroseKnapweed","FWS","Sangre De Cristo Conservation Area",8578,166402,0.05,"0",290
"99","SquarroseKnapweed","FWS","Fish Springs National Wildlife Refuge",805,17971,0.04,"0",0
"100","SquarroseKnapweed","FWS","Ridgefield National Wildlife Refuge",196,4991,0.04,"0",41
"101","SquarroseKnapweed","FWS","Browns Park National Wildlife Refuge",316,12323,0.03,"0",81
"102","SquarroseKnapweed","FWS","Baskett Slough National Wildlife Refuge",62,2516,0.02,"0",100
"103","SquarroseKnapweed","FWS","Deep Fork National Wildlife Refuge",168,10494,0.02,"0",797
"104","SquarroseKnapweed","FWS","Kirwin National Wildlife Refuge",175,10778,0.02,"0",559
"105","SquarroseKnapweed","FWS","Steigerwald Lake National Wildlife Refuge",22,1116,0.02,"0",54
"106","SquarroseKnapweed","FWS","William L. Finley National Wildlife Refuge",31,5708,0.01,"0",101
"107","SquarroseKnapweed","FWS","Kootenai National Wildlife Refuge",29,2766,0.01,"0",217
"108","SquarroseKnapweed","FWS","Silvio O. Conte National Fish and Wildlife Refuge",0,38352,0,"0",1823
"109","SquarroseKnapweed","FWS","Sauta Cave National Wildlife Refuge",0,266,0,"0",1314
"110","SquarroseKnapweed","FWS","Union Slough National Wildlife Refuge",0,2908,0,"0",816
"111","SquarroseKnapweed","FWS","St. Catherine Creek National Wildlife Refuge",0,25428,0,"0",1127
"112","SquarroseKnapweed","FWS","Whittlesey Creek National Wildlife Refuge",0,359,0,"0",995
"113","SquarroseKnapweed","FWS","Shiawassee National Wildlife Refuge",26,10186,0,"0",1294
"114","SquarroseKnapweed","FWS","Pilot Knob National Wildlife Refuge",0,97,0,"0",1019
"115","SquarroseKnapweed","FWS","Ten Thousand Islands National Wildlife Refuge",0,33944,0,"0",1817
"116","SquarroseKnapweed","FWS","Passage Key National Wildlife Refuge",0,63,0,"0",1706
"117","SquarroseKnapweed","FWS","Pahranagat National Wildlife Refuge",0,4672,0,"0",114
"118","SquarroseKnapweed","FWS","Sullys Hill National Game Preserve",0,1630,0,"0",687
"119","SquarroseKnapweed","FWS","Willow Lake National Wildlife Refuge",0,1,0,"0",671
"120","SquarroseKnapweed","FWS","Lake Andes National Wildlife Refuge",0,1133,0,"0",607
"121","SquarroseKnapweed","FWS","Blue Ridge National Wildlife Refuge",0,906,0,"0",249
"122","SquarroseKnapweed","FWS","Presquile National Wildlife Refuge",0,1297,0,"0",1691
"123","SquarroseKnapweed","FWS","Cedar Island National Wildlife Refuge",0,14328,0,"0",1793
"124","SquarroseKnapweed","FWS","James River National Wildlife Refuge",0,4317,0,"0",1697
"125","SquarroseKnapweed","FWS","Cherry Valley National Wildlife Refuge",0,2605,0,"0",1727
"126","SquarroseKnapweed","FWS","St. Johns National Wildlife Refuge",0,6460,0,"0",1771
"127","SquarroseKnapweed","FWS","Ellicott Slough National Wildlife Refuge",0,198,0,"0",229
"128","SquarroseKnapweed","FWS","Black Coulee National Wildlife Refuge",0,683,0,"0",387
"129","SquarroseKnapweed","FWS","Stewart B. Mckinney National Wildlife Refuge",0,1035,0,"0",1809
"130","SquarroseKnapweed","FWS","Ozark Cavefish National Wildlife Refuge",0,41,0,"0",847
"131","SquarroseKnapweed","FWS","Great Dismal Swamp National Wildlife Refuge",0,113358,0,"0",1740
"132","SquarroseKnapweed","FWS","San Luis National Wildlife Refuge",0,17874,0,"0",202
"133","SquarroseKnapweed","FWS","White Lake National Wildlife Refuge",0,1044,0,"0",475
"134","SquarroseKnapweed","FWS","Little River National Wildlife Refuge",0,15088,0,"0",834
"135","SquarroseKnapweed","FWS","Tishomingo National Wildlife Refuge",0,16467,0,"0",798
"136","SquarroseKnapweed","FWS","Tamarac National Wildlife Refuge",0,43553,0,"0",801
"137","SquarroseKnapweed","FWS","Chase Lake National Wildlife Refuge",0,4354,0,"0",647
"138","SquarroseKnapweed","FWS","Marin Islands National Wildlife Refuge",0,469,0,"0",166
"139","SquarroseKnapweed","FWS","Seney National Wildlife Refuge",0,95298,0,"0",1199
"140","SquarroseKnapweed","FWS","Siletz Bay National Wildlife Refuge",0,525,0,"0",129
"141","SquarroseKnapweed","FWS","Cahaba River National Wildlife Refuge",0,3619,0,"0",1315
"142","SquarroseKnapweed","FWS","Hutton Lake National Wildlife Refuge",0,1992,0,"0",242
"143","SquarroseKnapweed","FWS","Karl E. Mundt National Wildlife Refuge",0,1083,0,"0",607
"144","SquarroseKnapweed","FWS","Bitter Creek National Wildlife Refuge",0,15035,0,"0",342
"145","SquarroseKnapweed","FWS","Reelfoot National Wildlife Refuge",0,10429,0,"0",1105
"146","SquarroseKnapweed","FWS","Upper Mississippi River National Wildlife and Fish Refuge",0,189089,0,"0",919
"147","SquarroseKnapweed","FWS","Great Swamp National Wildlife Refuge",0,7946,0,"0",1769
"148","SquarroseKnapweed","FWS","Flint Hills National Wildlife Refuge",0,18575,0,"0",737
"149","SquarroseKnapweed","FWS","Moapa Valley National Wildlife Refuge",0,116,0,"0",123
"150","SquarroseKnapweed","FWS","Franklin Island National Wildlife Refuge",0,18,0,"0",1978
"151","SquarroseKnapweed","FWS","Lost Trail National Wildlife Refuge",0,9017,0,"0",188
"152","SquarroseKnapweed","FWS","Holla Bend National Wildlife Refuge",0,6071,0,"0",954
"153","SquarroseKnapweed","FWS","Rock Lake National Wildlife Refuge",0,156,0,"0",702
"154","SquarroseKnapweed","FWS","San Diego Bay National Wildlife Refuge",0,2605,0,"0",360
"155","SquarroseKnapweed","FWS","Grulla National Wildlife Refuge",0,3239,0,"0",457
"156","SquarroseKnapweed","FWS","Hackmatack National Wildlife Refuge",0,177,0,"0",1083
"157","SquarroseKnapweed","FWS","Lower Rio Grande Valley National Wildlife Refuge",0,106344,0,"0",936
"158","SquarroseKnapweed","FWS","Patuxent Research Refuge",0,12859,0,"0",1680
"159","SquarroseKnapweed","FWS","Crocodile Lake National Wildlife Refuge",0,6865,0,"0",1909
"160","SquarroseKnapweed","FWS","San Diego National Wildlife Refuge",0,12524,0,"0",344
"161","SquarroseKnapweed","FWS","Edwin B. Forsythe National Wildlife Refuge",0,43911,0,"0",1789
"162","SquarroseKnapweed","FWS","Great Bay National Wildlife Refuge",0,1153,0,"0",1887
"163","SquarroseKnapweed","FWS","Cibola National Wildlife Refuge",0,18443,0,"0",220
"164","SquarroseKnapweed","FWS","Sonny Bono Salton Sea National Wildlife Refuge",0,36906,0,"0",268
"165","SquarroseKnapweed","FWS","Waccamaw National Wildlife Refuge",0,35040,0,"0",1688
"166","SquarroseKnapweed","FWS","Bear Lake National Wildlife Refuge",0,18181,0,"0",13
"167","SquarroseKnapweed","FWS","Harbor Island National Wildlife Refuge",0,711,0,"0",1310
"168","SquarroseKnapweed","FWS","Audubon National Wildlife Refuge",0,14779,0,"0",585
"169","SquarroseKnapweed","FWS","Harris Neck National Wildlife Refuge",0,2827,0,"0",1649
"170","SquarroseKnapweed","FWS","Choctaw National Wildlife Refuge",0,3975,0,"0",1296
"171","SquarroseKnapweed","FWS","Tybee National Wildlife Refuge",0,678,0,"0",1652
"172","SquarroseKnapweed","FWS","Cape Meares National Wildlife Refuge",0,144,0,"0",97
"173","SquarroseKnapweed","FWS","Breton National Wildlife Refuge",0,28027,0,"0",1304
"174","SquarroseKnapweed","FWS","Willapa National Wildlife Refuge",0,16642,0,"0",74
"175","SquarroseKnapweed","FWS","Nantucket National Wildlife Refuge",0,21,0,"0",1978
"176","SquarroseKnapweed","FWS","Green Bay National Wildlife Refuge",0,1654,0,"0",1160
"177","SquarroseKnapweed","FWS","Storm Lake National Wildlife Refuge",0,2,0,"0",710
"178","SquarroseKnapweed","FWS","Florida Panther National Wildlife Refuge",0,26496,0,"0",1818
"179","SquarroseKnapweed","FWS","Key Cave National Wildlife Refuge",0,1053,0,"0",1227
"180","SquarroseKnapweed","FWS","Dungeness National Wildlife Refuge",0,1425,0,"0",130
"181","SquarroseKnapweed","FWS","Three Arch Rocks National Wildlife Refuge",0,15,0,"0",99
"182","SquarroseKnapweed","FWS","Red Rock Lakes National Wildlife Refuge",0,63896,0,"0",57
"183","SquarroseKnapweed","FWS","Billy Frank Jr. Nisqually National Wildlife Refuge",0,5776,0,"0",55
"184","SquarroseKnapweed","FWS","Pea Island National Wildlife Refuge",0,4985,0,"0",1811
"185","SquarroseKnapweed","FWS","Protection Island National Wildlife Refuge",0,442,0,"0",136
"186","SquarroseKnapweed","FWS","Agassiz National Wildlife Refuge",0,62273,0,"0",816
"187","SquarroseKnapweed","FWS","Dale Bumpers White River National Wildlife Refuge",0,158206,0,"0",1054
"188","SquarroseKnapweed","FWS","Okefenokee National Wildlife Refuge",0,416308,0,"0",1613
"189","SquarroseKnapweed","FWS","Seal Island National Wildlife Refuge",0,122,0,"0",2007
"190","SquarroseKnapweed","FWS","Imperial National Wildlife Refuge",0,24737,0,"0",228
"191","SquarroseKnapweed","FWS","Conscience Point National Wildlife Refuge",0,61,0,"0",1869
"192","SquarroseKnapweed","FWS","Trustom Pond National Wildlife Refuge",0,820,0,"0",1903
"193","SquarroseKnapweed","FWS","Anahuac National Wildlife Refuge",0,38650,0,"0",1021
"194","SquarroseKnapweed","FWS","Island Bay National Wildlife Refuge",0,28,0,"0",1760
"195","SquarroseKnapweed","FWS","Anaho Island National Wildlife Refuge",0,637,0,"0",70
"196","SquarroseKnapweed","FWS","Hamden Slough National Wildlife Refuge",0,3434,0,"0",790
"197","SquarroseKnapweed","FWS","Tennessee National Wildlife Refuge",0,48141,0,"0",1168
"198","SquarroseKnapweed","FWS","Port Louisa National Wildlife Refuge",0,17343,0,"0",887
"199","SquarroseKnapweed","FWS","Stewart Lake National Wildlife Refuge",0,638,0,"0",462
"200","SquarroseKnapweed","FWS","Wallops Island National Wildlife Refuge",0,372,0,"0",1768
"201","SquarroseKnapweed","FWS","Cache River National Wildlife Refuge",0,72291,0,"0",1037
"202","SquarroseKnapweed","FWS","Kankakee National Wildlife Refuge And Conservation Area",0,66,0,"0",1130
"203","SquarroseKnapweed","FWS","Sunburst Lake National Wildlife Refuge",0,329,0,"0",591
"204","SquarroseKnapweed","FWS","Bogue Chitto National Wildlife Refuge",0,36386,0,"0",1236
"205","SquarroseKnapweed","FWS","Grays Lake National Wildlife Refuge",0,4998,0,"0",61
"206","SquarroseKnapweed","FWS","Everglades Headwaters National Wildlife Refuge and Conservation Area",0,7025,0,"0",1757
"207","SquarroseKnapweed","FWS","Bombay Hook National Wildlife Refuge",0,15386,0,"0",1741
"208","SquarroseKnapweed","FWS","Nestucca Bay National Wildlife Refuge",0,1194,0,"0",111
"209","SquarroseKnapweed","FWS","Canfield Lake National Wildlife Refuge",0,4,0,"0",608
"210","SquarroseKnapweed","FWS","Bill Williams River National Wildlife Refuge",0,5993,0,"0",152
"211","SquarroseKnapweed","FWS","Fort Niobrara National Wildlife Refuge",0,19093,0,"0",513
"212","SquarroseKnapweed","FWS","Lake Nettie National Wildlife Refuge",0,2425,0,"0",595
"213","SquarroseKnapweed","FWS","Lake Mason National Wildlife Refuge",0,11253,0,"0",258
"214","SquarroseKnapweed","FWS","Cypress Creek National Wildlife Refuge",0,17389,0,"0",1095
"215","SquarroseKnapweed","FWS","Alamosa National Wildlife Refuge",0,12098,0,"0",279
"216","SquarroseKnapweed","FWS","Merritt Island National Wildlife Refuge",0,135370,0,"0",1766
"217","SquarroseKnapweed","FWS","Tualatin River National Wildlife Refuge",2,1315,0,"0",71
"218","SquarroseKnapweed","FWS","Driftless Area National Wildlife Refuge",0,1188,0,"0",924
"219","SquarroseKnapweed","FWS","Arthur R. Marshall Loxahatchee National Wildlife Refuge",0,145397,0,"0",1859
"220","SquarroseKnapweed","FWS","Cokeville Meadows National Wildlife Refuge",0,6286,0,"0",4
"221","SquarroseKnapweed","FWS","Egmont Key National Wildlife Refuge",0,331,0,"0",1703
"222","SquarroseKnapweed","FWS","Banks Lake National Wildlife Refuge",0,2981,0,"0",1579
"223","SquarroseKnapweed","FWS","Grays Harbor National Wildlife Refuge",0,1409,0,"0",89
"224","SquarroseKnapweed","FWS","Tensas River National Wildlife Refuge",0,80195,0,"0",1111
"225","SquarroseKnapweed","FWS","Shell Keys National Wildlife Refuge",0,4,0,"0",1168
"226","SquarroseKnapweed","FWS","Little Sandy National Wildlife Refuge",0,3820,0,"0",901
"227","SquarroseKnapweed","FWS","Necedah National Wildlife Refuge",0,44027,0,"0",1003
"228","SquarroseKnapweed","FWS","Copalis National Wildlife Refuge",0,26,0,"0",106
"229","SquarroseKnapweed","FWS","Great Thicket National Wildlife Refuge",0,144,0,"0",1804
"230","SquarroseKnapweed","FWS","Nomans Land Island National Wildlife Refuge",0,618,0,"0",1942
"231","SquarroseKnapweed","FWS","Tallahatchie National Wildlife Refuge",0,4187,0,"0",1142
"232","SquarroseKnapweed","FWS","Crane Meadows National Wildlife Refuge",0,2023,0,"0",839
"233","SquarroseKnapweed","FWS","Oregon Islands National Wildlife Refuge",0,516,0,"0",28
"234","SquarroseKnapweed","FWS","Lostwood National Wildlife Refuge",0,27332,0,"0",566
"235","SquarroseKnapweed","FWS","Cabeza Prieta National Wildlife Refuge",0,855637,0,"0",213
"236","SquarroseKnapweed","FWS","Massasoit National Wildlife Refuge",0,208,0,"0",1943
"237","SquarroseKnapweed","FWS","Petit Manan National Wildlife Refuge",0,7231,0,"0",1931
"238","SquarroseKnapweed","FWS","Sequoyah National Wildlife Refuge",0,20917,0,"0",847
"239","SquarroseKnapweed","FWS","Boyer Chute National Wildlife Refuge",0,3968,0,"0",716
"240","SquarroseKnapweed","FWS","St. Marks National Wildlife Refuge",0,82181,0,"0",1538
"241","SquarroseKnapweed","FWS","Swan Lake National Wildlife Refuge",0,11034,0,"0",859
"242","SquarroseKnapweed","FWS","Archie Carr National Wildlife Refuge",0,255,0,"0",1807
"243","SquarroseKnapweed","FWS","Des Lacs National Wildlife Refuge",0,14745,0,"0",587
"244","SquarroseKnapweed","FWS","Mcfaddin National Wildlife Refuge",0,67543,0,"0",1032
"245","SquarroseKnapweed","FWS","Pierce National Wildlife Refuge",0,391,0,"0",51
"246","SquarroseKnapweed","FWS","Detroit River International Wildlife Refuge",0,5438,0,"0",1326
"247","SquarroseKnapweed","FWS","J. Clark Salyer National Wildlife Refuge",0,59328,0,"0",636
"248","SquarroseKnapweed","FWS","Matlacha Pass National Wildlife Refuge",0,532,0,"0",1768
"249","SquarroseKnapweed","FWS","Mississippi Sandhill Crane National Wildlife Refuge",0,20155,0,"0",1296
"250","SquarroseKnapweed","FWS","Bayou Sauvage National Wildlife Refuge",0,25718,0,"0",1248
"251","SquarroseKnapweed","FWS","Elizabeth Alexandra Morton National Wildlife Refuge",0,178,0,"0",1870
"252","SquarroseKnapweed","FWS","Farallon Islands National Wildlife Refuge",0,114,0,"0",194
"253","SquarroseKnapweed","FWS","Minnesota Valley National Wildlife Refuge",0,14937,0,"0",835
"254","SquarroseKnapweed","FWS","Cross Island National Wildlife Refuge",0,1726,0,"0",2065
"255","SquarroseKnapweed","FWS","Sacramento River National Wildlife Refuge",0,11649,0,"0",41
"256","SquarroseKnapweed","FWS","Monomoy National Wildlife Refuge",0,7975,0,"0",1977
"257","SquarroseKnapweed","FWS","Big Boggy National Wildlife Refuge",0,4500,0,"0",989
"258","SquarroseKnapweed","FWS","Gravel Island National Wildlife Refuge",0,19,0,"0",1159
"259","SquarroseKnapweed","FWS","Aroostook National Wildlife Refuge",0,5387,0,"0",2017
"260","SquarroseKnapweed","FWS","Sunkhaze Meadows National Wildlife Refuge",0,11619,0,"0",2001
"261","SquarroseKnapweed","FWS","Erie National Wildlife Refuge",0,8853,0,"0",1493
"262","SquarroseKnapweed","FWS","Arrowwood National Wildlife Refuge",0,16008,0,"0",676
"263","SquarroseKnapweed","FWS","Mountain Longleaf National Wildlife Refuge",0,9014,0,"0",1359
"264","SquarroseKnapweed","FWS","Umbagog National Wildlife Refuge",0,37481,0,"0",1888
"265","SquarroseKnapweed","FWS","Susquehanna National Wildlife Refuge",0,1,0,"0",1710
"266","SquarroseKnapweed","FWS","Cedar Point National Wildlife Refuge",0,2598,0,"0",1332
"267","SquarroseKnapweed","FWS","Kofa National Wildlife Refuge",0,665450,0,"0",174
"268","SquarroseKnapweed","FWS","Antioch Dunes National Wildlife Refuge",0,53,0,"0",153
"269","SquarroseKnapweed","FWS","Brazoria National Wildlife Refuge",0,47302,0,"0",1001
"270","SquarroseKnapweed","FWS","Guadalupe-nipomo Dunes National Wildlife Refuge",0,2501,0,"0",369
"271","SquarroseKnapweed","FWS","John Hay National Wildlife Refuge",0,80,0,"0",1859
"272","SquarroseKnapweed","FWS","Crescent Lake National Wildlife Refuge",0,45916,0,"0",398
"273","SquarroseKnapweed","FWS","Big Oaks National Wildlife Refuge",0,51664,0,"0",1252
"274","SquarroseKnapweed","FWS","National Elk Refuge",0,24971,0,"0",88
"275","SquarroseKnapweed","FWS","Attwater Prairie Chicken National Wildlife Refuge",0,10578,0,"0",930
"276","SquarroseKnapweed","FWS","North Platte National Wildlife Refuge",0,2920,0,"0",338
"277","SquarroseKnapweed","FWS","Ernest F. Hollings Ace Basin National Wildlife Refuge",0,12077,0,"0",1635
"278","SquarroseKnapweed","FWS","Pinellas National Wildlife Refuge",0,392,0,"0",1703
"279","SquarroseKnapweed","FWS","Dahomey National Wildlife Refuge",0,9794,0,"0",1104
"280","SquarroseKnapweed","FWS","Featherstone National Wildlife Refuge",0,338,0,"0",1667
"281","SquarroseKnapweed","FWS","San Juan Islands National Wildlife Refuge",0,456,0,"0",149
"282","SquarroseKnapweed","FWS","Wolf Island National Wildlife Refuge",0,4632,0,"0",1657
"283","SquarroseKnapweed","FWS","Quivira National Wildlife Refuge",0,22164,0,"0",611
"284","SquarroseKnapweed","FWS","War Horse National Wildlife Refuge",0,2853,0,"0",283
"285","SquarroseKnapweed","FWS","Nansemond National Wildlife Refuge",0,424,0,"0",1738
"286","SquarroseKnapweed","FWS","Oxbow National Wildlife Refuge",0,1704,0,"0",1889
"287","SquarroseKnapweed","FWS","Flattery Rocks National Wildlife Refuge",0,109,0,"0",166
"288","SquarroseKnapweed","FWS","Conboy Lake National Wildlife Refuge",0,6477,0,"0",36
"289","SquarroseKnapweed","FWS","Delevan National Wildlife Refuge",0,5796,0,"0",69
"290","SquarroseKnapweed","FWS","National Key Deer Refuge",0,83206,0,"0",1866
"291","SquarroseKnapweed","FWS","Kellys Slough National Wildlife Refuge",0,692,0,"0",758
"292","SquarroseKnapweed","FWS","Wertheim National Wildlife Refuge",0,2657,0,"0",1838
"293","SquarroseKnapweed","FWS","Middle Mississippi River National Wildlife Refuge",0,8155,0,"0",1021
"294","SquarroseKnapweed","FWS","Logan Cave National Wildlife Refuge",0,126,0,"0",861
